"","Kingdom","Phylum","Class","Order","Family","Genus","Species","SourceID","Seq","indtype"
"2092","Metazoa","Chordata",NA,NA,NA,NA,NA,"80_Match","sq12139",NA
"2093","Metazoa","Nemertea",NA,NA,NA,NA,NA,"80_Match","sq12160",NA
"2095","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq12165",NA
"2096","Metazoa","Bacillariophyta",NA,NA,NA,NA,NA,"80_Match","sq12096",NA
"2098","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12179",NA
"2100","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11885",NA
"2101","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq12204",NA
"2102","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq12250",NA
"2103","Metazoa","Bacillariophyta",NA,NA,NA,NA,NA,"80_Match","sq12245",NA
"2104","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq12254",NA
"2105","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq12267",NA
"2107","Metazoa","Bacillariophyta",NA,NA,NA,NA,NA,"80_Match","sq12268",NA
"2109","Metazoa","Bacillariophyta",NA,NA,NA,NA,NA,"80_Match","sq12187",NA
"2112","Metazoa","Nematoda",NA,NA,NA,NA,NA,"80_Match","sq12223",NA
"2113","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12341",NA
"2114","Metazoa","Cnidaria",NA,NA,NA,NA,NA,"80_Match","sq12347",NA
"2115","Metazoa","Mollusca",NA,NA,NA,NA,NA,"80_Match","sq12348",NA
"2116","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12350",NA
"2117","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12356",NA
"2119","Metazoa","Mollusca",NA,NA,NA,NA,NA,"80_Match","sq12365",NA
"2120","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12366",NA
"2121","Metazoa","Nematoda",NA,NA,NA,NA,NA,"80_Match","sq12367",NA
"2122","Metazoa","Bacillariophyta",NA,NA,NA,NA,NA,"80_Match","sq12273",NA
"2123","Metazoa","Mollusca",NA,NA,NA,NA,NA,"80_Match","sq12288",NA
"2127","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq12393",NA
"2131","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12408",NA
"2133","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq12428",NA
"2134","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12431",NA
"2135","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12436",NA
"2136","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12438",NA
"2137","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq12439",NA
"2138","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12440",NA
"2139","Metazoa","Echinodermata",NA,NA,NA,NA,NA,"80_Match","sq12442",NA
"2140","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12450",NA
"2143","Metazoa","Bacillariophyta",NA,NA,NA,NA,NA,"80_Match","sq12414",NA
"2144","Metazoa","Cnidaria",NA,NA,NA,NA,NA,"80_Match","sq12508",NA
"2145","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12521",NA
"2146","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq12536",NA
"2147","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12547",NA
"2149","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq12489",NA
"2155","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq12656",NA
"2156","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12657",NA
"2157","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12663",NA
"2158","Metazoa","Mollusca",NA,NA,NA,NA,NA,"80_Match","sq12664",NA
"2160","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12668",NA
"2161","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq12563",NA
"2162","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq12686",NA
"2163","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12687",NA
"2168","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12738",NA
"2169","Metazoa","Platyhelminthes",NA,NA,NA,NA,NA,"80_Match","sq12735",NA
"2171","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12745",NA
"2173","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12758",NA
"2174","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq12759",NA
"2175","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12763",NA
"2176","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12764",NA
"2177","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12771",NA
"2178","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12785",NA
"2179","Metazoa","Mollusca",NA,NA,NA,NA,NA,"80_Match","sq12786",NA
"2180","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12790",NA
"2181","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12788",NA
"2182","Metazoa","Porifera",NA,NA,NA,NA,NA,"80_Match","sq12791",NA
"2184","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12810",NA
"2185","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12816",NA
"2186","Metazoa","Mollusca",NA,NA,NA,NA,NA,"80_Match","sq12833",NA
"2187","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq12845",NA
"2188","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12867",NA
"2189","Metazoa","Nematoda",NA,NA,NA,NA,NA,"80_Match","sq12801",NA
"2191","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12776",NA
"2192","Metazoa","Nematoda",NA,NA,NA,NA,NA,"80_Match","sq12808",NA
"2196","Metazoa","Cnidaria",NA,NA,NA,NA,NA,"80_Match","sq12947",NA
"2197","Metazoa","Bacillariophyta",NA,NA,NA,NA,NA,"80_Match","sq12876",NA
"2198","Metazoa","Cnidaria",NA,NA,NA,NA,NA,"80_Match","sq12963",NA
"2199","Metazoa","Cnidaria",NA,NA,NA,NA,NA,"80_Match","sq12970",NA
"2201","Metazoa","Platyhelminthes",NA,NA,NA,NA,NA,"80_Match","sq12996",NA
"2203","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13014",NA
"2204","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13021",NA
"2205","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12939",NA
"2207","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12945",NA
"2210","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13089",NA
"2211","Metazoa","Bryozoa",NA,NA,NA,NA,NA,"80_Match","sq13098",NA
"2212","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq13115",NA
"2213","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13128",NA
"2215","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13136",NA
"2216","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq13139",NA
"2217","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13162",NA
"2219","Metazoa","Nemertea",NA,NA,NA,NA,NA,"80_Match","sq13167",NA
"2220","Metazoa","Mollusca",NA,NA,NA,NA,NA,"80_Match","sq13168",NA
"2221","Metazoa","Bryozoa",NA,NA,NA,NA,NA,"80_Match","sq13181",NA
"2222","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq13078",NA
"2224","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq13203",NA
"2225","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13208",NA
"2226","Metazoa","Cnidaria",NA,NA,NA,NA,NA,"80_Match","sq13221",NA
"2227","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13223",NA
"2229","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13240",NA
"2230","Metazoa","Cnidaria",NA,NA,NA,NA,NA,"80_Match","sq13246",NA
"2232","Metazoa","Bryozoa",NA,NA,NA,NA,NA,"80_Match","sq13251",NA
"2235","Metazoa","Cnidaria",NA,NA,NA,NA,NA,"80_Match","sq13285",NA
"2237","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq13319",NA
"2238","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq13320",NA
"2240","Metazoa","Bryozoa",NA,NA,NA,NA,NA,"80_Match","sq13363",NA
"2242","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq13375",NA
"2244","Metazoa","Cnidaria",NA,NA,NA,NA,NA,"80_Match","sq13394",NA
"2246","Metazoa","Nemertea",NA,NA,NA,NA,NA,"80_Match","sq13411",NA
"2247","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13414",NA
"2249","Metazoa","Cnidaria",NA,NA,NA,NA,NA,"80_Match","sq13440",NA
"2250","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq13458",NA
"2251","Metazoa","Hemichordata",NA,NA,NA,NA,NA,"80_Match","sq13462",NA
"2252","Metazoa","Cnidaria",NA,NA,NA,NA,NA,"80_Match","sq13482",NA
"2253","Metazoa","Gastrotricha",NA,NA,NA,NA,NA,"80_Match","sq13494",NA
"2254","Metazoa","Porifera",NA,NA,NA,NA,NA,"80_Match","sq13506",NA
"2255","Metazoa","Bacillariophyta",NA,NA,NA,NA,NA,"80_Match","sq13520",NA
"2256","Metazoa","Mollusca",NA,NA,NA,NA,NA,"80_Match","sq13430",NA
"2257","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13483",NA
"2258","Metazoa","Bacillariophyta",NA,NA,NA,NA,NA,"80_Match","sq13514",NA
"2259","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13567",NA
"2260","Metazoa","Mollusca",NA,NA,NA,NA,NA,"80_Match","sq13507",NA
"2262","Metazoa","Gastrotricha",NA,NA,NA,NA,NA,"80_Match","sq13591",NA
"2263","Metazoa","Bacillariophyta",NA,NA,NA,NA,NA,"80_Match","sq13593",NA
"2264","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13601",NA
"2265","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13605",NA
"2267","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13619",NA
"2269","Metazoa","Mollusca",NA,NA,NA,NA,NA,"80_Match","sq13630",NA
"2270","Metazoa","Mollusca",NA,NA,NA,NA,NA,"80_Match","sq13633",NA
"2272","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13641",NA
"2273","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13642",NA
"2276","Metazoa","Mollusca",NA,NA,NA,NA,NA,"80_Match","sq13657",NA
"2277","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13661",NA
"2279","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq13679",NA
"2281","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq13698",NA
"2282","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13706",NA
"2283","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq13715",NA
"2284","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13717",NA
"2285","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq13719",NA
"2286","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13721",NA
"2287","Metazoa","Platyhelminthes",NA,NA,NA,NA,NA,"80_Match","sq13634",NA
"2288","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13726",NA
"2290","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13760",NA
"2291","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13686",NA
"2292","Metazoa","Entoprocta",NA,NA,NA,NA,NA,"80_Match","sq13774",NA
"2294","Metazoa","Nemertea",NA,NA,NA,NA,NA,"80_Match","sq13807",NA
"2295","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13806",NA
"2298","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13830",NA
"2299","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq13831",NA
"2300","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13833",NA
"2301","Metazoa","Nematoda",NA,NA,NA,NA,NA,"80_Match","sq13747",NA
"2302","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13842",NA
"2303","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13856",NA
"2304","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13857",NA
"2307","Metazoa","Nematoda",NA,NA,NA,NA,NA,"80_Match","sq13752",NA
"2308","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13756",NA
"2309","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13925",NA
"2311","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq13959",NA
"2312","Metazoa","Bryozoa",NA,NA,NA,NA,NA,"80_Match","sq13961",NA
"2313","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq13989",NA
"2315","Metazoa","Porifera",NA,NA,NA,NA,NA,"80_Match","sq14036",NA
"2317","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq14048",NA
"2318","Metazoa","Echinodermata",NA,NA,NA,NA,NA,"80_Match","sq14050",NA
"2319","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq14074",NA
"2321","Metazoa","Cnidaria",NA,NA,NA,NA,NA,"80_Match","sq14002",NA
"2328","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq14124",NA
"2329","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq14100",NA
